0,1
Saudi Arabia,4000000
United Arab Emirates,1600000
United Kingdom,1200000
United States,"600,410[97]"
Canada,"215,000[98]"
Kuwait,190000
South Africa,"180,000[99]"
Oman,385000
Australia,"61,913[100]"
Germany,179668
Qatar,52500
France,50000
Norway,"39,257[101]"
Denmark,21000
New Zealand,10000
Ireland,9501
